time,gyro_roll,inter_time,inter_gyro_roll
16.52,5.93,2.51,-7.13E+02
16.58,5.93,2.52,-6.93E+02
16.62,-0.05,2.53,-6.72E+02
16.72,-5.3,2.54,-6.49E+02
16.82,-10.36,2.55,-6.27E+02
16.9,-10.36,2.56,-6.07E+02
16.92,-14.27,2.57,-5.91E+02
17.02,-17.01,2.58,-5.81E+02
17.12,-16.16,2.59,-5.77E+02
17.22,-16.28,2.6,-5.77E+02
17.22,-16.28,2.61,-5.77E+02
17.32,-14.33,2.62,-5.77E+02
17.42,-16.47,2.63,-5.77E+02
17.43,-16.47,2.64,-5.77E+02
17.43,-16.47,2.65,-5.77E+02
17.52,-38.86,2.66,-5.77E+02
17.54,-38.86,2.67,-5.60E+02
17.62,-72.92,2.68,-5.24E+02
17.72,-89.77,2.69,-4.92E+02
17.82,-79.88,2.7,-4.71E+02
17.86,-79.88,2.71,-4.50E+02
17.92,-62.06,2.72,-4.30E+02
18.02,-48.45,2.73,-4.11E+02
18.12,-27.51,2.74,-3.93E+02
18.18,-27.51,2.75,-3.77E+02
18.22,-2.73,2.76,-3.62E+02
18.32,11.31,2.77,-3.48E+02
18.42,14.97,2.78,-3.37E+02
18.43,14.97,2.79,-3.26E+02
18.43,14.97,2.8,-3.17E+02
18.5,14.97,2.81,-3.08E+02
18.52,11.24,2.82,-2.99E+02
18.62,4.16,2.83,-2.91E+02
18.72,-2.49,2.84,-2.83E+02
18.82,-6.27,2.85,-2.76E+02
18.82,-6.27,2.86,-2.71E+02
18.92,-8.65,2.87,-2.66E+02
19.02,-10.97,2.88,-2.64E+02
19.12,-12.86,2.89,-2.63E+02
19.14,-12.86,2.9,-2.63E+02
19.22,-15.49,2.91,-2.63E+02
19.32,-18.97,2.92,-2.63E+02
19.42,-22.39,2.93,-2.63E+02
19.43,-22.39,2.94,-2.63E+02
19.43,-22.39,2.95,-2.63E+02
19.46,-22.39,2.96,-2.63E+02
19.52,-27.76,2.97,-2.63E+02
19.62,-33.19,2.98,-2.63E+02
19.72,-37.34,2.99,-2.63E+02
19.78,-37.34,3,-2.62E+02
19.82,-42.04,3.01,-2.59E+02
19.92,-46.13,3.02,-2.55E+02
20.02,-49.49,3.03,-2.50E+02
20.1,-49.49,3.04,-2.44E+02
20.12,-51.01,3.05,-2.37E+02
20.22,-39.17,3.06,-2.30E+02
20.32,-2.43,3.07,-2.23E+02
20.42,52.14,3.08,-2.16E+02
20.42,52.14,3.09,-2.09E+02
20.43,52.14,3.1,-2.02E+02
